trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
27,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
28,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.23999999999999999,0.68000000000000005,0.0,False
29,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.35999999999999999,0.68000000000000005,0.0,False
30,0,0,1,0,1,0.59999999999999998,0.40000000000000002,0.80000000000000004,0.35999999999999999,0.68000000000000005,0.0,False
31,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
32,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
33,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
34,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.35999999999999999,0.31999999999999995,1.0,True
35,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.23999999999999999,0.31999999999999995,1.0,True
36,0,0,1,1,1,0.59999999999999998,0.59999999999999998,0.80000000000000004,0.23999999999999999,0.31999999999999995,1.0,True
37,0,0,1,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.23999999999999999,0.31999999999999995,1.0,False
38,0,0,1,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.23999999999999999,0.31999999999999995,1.0,False
39,0,0,1,1,0,0.59999999999999998,0.59999999999999998,0.20000000000000001,0.23999999999999999,0.31999999999999995,1.0,False
40,1,0,1,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
41,1,0,1,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,False
42,1,0,1,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.080000000000000016,0.31999999999999995,1.0,False
43,1,0,1,0,1,0.40000000000000002,0.40000000000000002,0.80000000000000004,0.080000000000000016,0.31999999999999995,1.0,False
44,1,0,1,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.080000000000000016,0.31999999999999995,1.0,True
45,1,0,1,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
46,1,0,1,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
47,1,0,1,1,1,0.40000000000000002,0.59999999999999998,0.80000000000000004,0.32000000000000006,0.31999999999999995,1.0,True
48,1,0,1,1,0,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.32000000000000006,0.68000000000000005,0.0,False
49,1,0,1,1,0,0.40000000000000002,0.59999999999999998,0.20000000000000001,0.32000000000000006,0.68000000000000005,0.0,False
